Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
glucurronic acid,chemical,,AEMOLEFTQBMNLQ-AQKNRBDQSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/AEMOLEFTQBMNLQ-AQKNRBDQSA-N,C1(C(C(OC(C1O)O)C(=O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/94715,94715,https://pubchem.ncbi.nlm.nih.gov/compound/94715,CHEMBL1162071,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1162071/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O)[C@@H]1O[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O', 'C1(C(C(OC(C1O)O)C(=O)O)O)O'}",
inosittol,chemical,INOSITOL NIACINATE,CDAISMWEOUEBRE-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/CDAISMWEOUEBRE-UHFFFAOYSA-N,C1(C(C(C(C(C1O)O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/892,892,https://pubchem.ncbi.nlm.nih.gov/compound/892,CHEMBL1094982,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1094982/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H]1OC(=O)c1cccnc1)c1cccnc1', 'C1(C(C(C(C(C1O)O)O)O)O)O'}",
cystiene,chemical,CYSTEINE HYDROCHLORIDE,XUJNEKJLAYXESH-REOHCLBHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/XUJNEKJLAYXESH-REOHCLBHSA-N,C(C(C(=O)O)N)S,https://pubchem.ncbi.nlm.nih.gov/compound/5862,5862,https://pubchem.ncbi.nlm.nih.gov/compound/5862,CHEMBL1200630,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200630/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C(C(=O)O)N)S', 'Cl.N[C@@H](CS)C(=O)O'}",
phosphoenolpyruate,chemical,PHOSPHOENOLPYRUVATE,DTBNBXWJWCWCIK-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DTBNBXWJWCWCIK-UHFFFAOYSA-N,C=C(C(=O)O)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/1005,1005,https://pubchem.ncbi.nlm.nih.gov/compound/1005,CHEMBL1235228,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1235228/,,,,,,,,,,,,,,,"SMILES mismatch: {'C=C(C(=O)O)OP(=O)(O)O', 'C=C(OP(=O)(O)O)C(=O)O'}",
xanhtine,chemical,,LRFVTYWOQMYALW-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/LRFVTYWOQMYALW-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC(=O)N2,https://pubchem.ncbi.nlm.nih.gov/compound/1188,1188,https://pubchem.ncbi.nlm.nih.gov/compound/1188,CHEMBL3910415,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3910415/,,,,,,,,,,,,,,,"SMILES mismatch: {'O=C1NC(=O)C2N=CNC2N1', 'C1=NC2=C(N1)C(=O)NC(=O)N2'}",
cholstrerol,chemical,,HVYWMOMLDIMFJA-DPAQBDIFSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/HVYWMOMLDIMFJA-DPAQBDIFSA-N,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/5997,5997,https://pubchem.ncbi.nlm.nih.gov/compound/5997,CHEMBL3184306,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3184306/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C', 'CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C'}",
hydrogen perooxide,chemical,HYDROGEN PEROXIDE,MHAJPDPJQMAIIY-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/MHAJPDPJQMAIIY-UHFFFAOYSA-N,OO,https://pubchem.ncbi.nlm.nih.gov/compound/784,784,https://pubchem.ncbi.nlm.nih.gov/compound/784,CHEMBL71595,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL71595/,,,,,,,,,,,,,,,,
methiunine,chemical,,FFEARJCKVFRZRR-BYPYZUCNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCCC(C(=O)O)N,https://pubchem.ncbi.nlm.nih.gov/compound/6137,6137,https://pubchem.ncbi.nlm.nih.gov/compound/6137,CHEMBL1234268,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1234268/,,,,,,,,,,,,,,,"SMILES mismatch: {'CSCC[C@@H](N)C(=O)O', 'CSCCC(C(=O)O)N'}",
propeonic acid,chemical,PROPIONIC ACID,XBDQKXXYIPTUBI-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/1032,1032,https://pubchem.ncbi.nlm.nih.gov/compound/1032,CHEMBL14021,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL14021/,,,,,,,,,,,,,,,,
cretnine,chemical,CREATININE,DDRJAANPRJIHGJ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN1CC(=O)N=C1N,https://pubchem.ncbi.nlm.nih.gov/compound/588,588,https://pubchem.ncbi.nlm.nih.gov/compound/588,CHEMBL65567,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL65567/,,,,,,,,,,,,,,,"SMILES mismatch: {'CN1CC(=O)N=C1N', 'CN1CC(=O)NC1=N'}",
ribos,chemical,sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],https://pubchem.ncbi.nlm.nih.gov/compound/5362487,5362487,https://pubchem.ncbi.nlm.nih.gov/compound/5362487,CHEMBL256997,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL256997/,,,,,,,,,,,,,,,,
seryne,chemical,SERINE,MTCFGRXMJLQNBG-REOHCLBHSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/MTCFGRXMJLQNBG-REOHCLBHSA-N,C(C(C(=O)O)N)O,https://pubchem.ncbi.nlm.nih.gov/compound/5951,5951,https://pubchem.ncbi.nlm.nih.gov/compound/5951,CHEMBL11298,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL11298/,,,,,,,,,,,,,,,"SMILES mismatch: {'N[C@@H](CO)C(=O)O', 'C(C(C(=O)O)N)O'}",
ribos-5-phospahe,chemical,,PPQRONHOSHZGFQ-LMVFSUKVSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/PPQRONHOSHZGFQ-LMVFSUKVSA-N,C(C(C(C(C=O)O)O)O)OP(=O)(O)O,https://pubchem.ncbi.nlm.nih.gov/compound/77982,77982,https://pubchem.ncbi.nlm.nih.gov/compound/77982,CHEMBL1161472,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1161472/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C(C(C(C=O)O)O)O)OP(=O)(O)O', 'O=P(O)(O)OCC1OC(O)CC1O'}",
alpha-ketoglotarate,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
bile acidds,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
