Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
putrescne,chemical,PUTRESCINE DIHYDROCHLORIDE,KIDHWZJUCRJVML-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/KIDHWZJUCRJVML-UHFFFAOYSA-N,C(CCN)CN,https://pubchem.ncbi.nlm.nih.gov/compound/1045,1045,https://pubchem.ncbi.nlm.nih.gov/compound/1045,CHEMBL1528028,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1528028/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(CCN)CN', 'Cl.Cl.NCCCCN'}",
sperrmine,chemical,,PFNFFQXMRSDOHW-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/PFNFFQXMRSDOHW-UHFFFAOYSA-N,C(CCNCCCN)CNCCCN,https://pubchem.ncbi.nlm.nih.gov/compound/1103,1103,https://pubchem.ncbi.nlm.nih.gov/compound/1103,CHEMBL503923,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL503923/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(CCNCCCN)CNCCCN', 'C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)NCCCCC(=O)N(CCCN)CCCCNCCCN)C(CCC(=O)NCCCCC(=O)N(CCCN)CCCCNCCCN)=C4C)c(C)c3C=C'}",
hypoxnthine,chemical,HYPOXANTHINE,FDGQSTZJBFJUBT-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FDGQSTZJBFJUBT-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC=N2,https://pubchem.ncbi.nlm.nih.gov/compound/135398638,135398638,https://pubchem.ncbi.nlm.nih.gov/compound/135398638,CHEMBL1427,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1427/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1=NC2=C(N1)C(=O)NC=N2', 'O=c1[nH]cnc2nc[nH]c12'}",
malicc acid,chemical,MALIC ACID,BJEPYKJPYRNKOW-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/BJEPYKJPYRNKOW-UHFFFAOYSA-N,C(C(C(=O)O)O)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/525,525,https://pubchem.ncbi.nlm.nih.gov/compound/525,CHEMBL1455497,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1455497/,,,,,,,,,,,,,,,"SMILES mismatch: {'C(C(C(=O)O)O)C(=O)O', 'O=C(O)CC(O)C(=O)O'}",
levulinc acid,chemical,LEVULINIC ACID,JOOXCMJARBKPKM-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/JOOXCMJARBKPKM-UHFFFAOYSA-N,CC(=O)CCC(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/11579,11579,https://pubchem.ncbi.nlm.nih.gov/compound/11579,CHEMBL1235931,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1235931/,,,,,,,,,,,,,,,,
nicotinammide adenine dinucleotid,chemical,,BAWFJGJZGIEFAR-NNYOXOHSSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/BAWFJGJZGIEFAR-NNYOXOHSSA-N,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,https://pubchem.ncbi.nlm.nih.gov/compound/5892,5892,https://pubchem.ncbi.nlm.nih.gov/compound/5892,CHEMBL3350584,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3350584/,,,,,,,,,,,,,,,"SMILES mismatch: {'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N', 'NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4c(Br)nc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1'}",
tetrahydrobiooterin,chemical,,FNKQXYHWGSIFBK-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FNKQXYHWGSIFBK-UHFFFAOYSA-N,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/135402045,135402045,https://pubchem.ncbi.nlm.nih.gov/compound/135402045,CHEMBL4063304,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4063304/,,,,,,,,,,,,,,,"SMILES mismatch: {'C[C@H](O)[C@H](O)[C@@]1(C)CNc2[nH]c(N)nc(=O)c2N1', 'CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O'}",
folicc acid,chemical,FOLIC ACID,OVBPIULPVIDEAO-LBPRGKRZSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/OVBPIULPVIDEAO-LBPRGKRZSA-N,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,https://pubchem.ncbi.nlm.nih.gov/compound/135398658,135398658,https://pubchem.ncbi.nlm.nih.gov/compound/135398658,CHEMBL1622,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1622/,,,,,,,,,,,,,,,"SMILES mismatch: {'Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1', 'C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N'}",
retinoll,chemical,RETINOL,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/FPIPGXGPPPQFEQ-OVSJKPMPSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/445354,445354,https://pubchem.ncbi.nlm.nih.gov/compound/445354,CHEMBL986,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL986/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C', 'CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1'}",
bilirubinn,chemical,BILIRUBIN MONOGLUCURONIDE,BPYKTIZUTYGOLE-IFADSCNNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/BPYKTIZUTYGOLE-IFADSCNNSA-N,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,https://pubchem.ncbi.nlm.nih.gov/compound/5280352,5280352,https://pubchem.ncbi.nlm.nih.gov/compound/5280352,CHEMBL2074720,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2074720/,,,,,,,,,,,,,,,"SMILES mismatch: {'CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C', 'C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3OC(C(=O)O)[C@@H](O)C(O)C3O)c(CCC(=O)O)c2C)NC1=O'}",
